"Bronhouder"	"VTHobject ID"	"Bedrijfstype"	"Beëndigd"	"Adres"	"Gemeente"	"Aantal stallen"	"IPPC"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"BAG VBO X"	"BAG VBO Y"	"Gem. emissie X"	"Gem. emissie Y"	"Besluitdatum"	"Zaaktype"
"ODA"	"ODA2015E3611"		"Nee"	"Wandersweg 21 7104DD Winterswijk Meddo"		"2"	"Nee"	"426,20"	"0,00"	"3.834,00"	"247845"	"447911"	"0"	"0"	"2015-05-28"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3612"		"Nee"	"Wandersweg 12 7104DD Winterswijk Meddo"	"Winterswijk"	"2"	"Nee"	"1.390,00"	"0,00"	"20.304,40"	"247484"	"447626"	"0"	"0"	"2022-09-28"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3617"		"Nee"	"Groenloseweg 53 7261RM Ruurlo"	"Berkelland"	"5"	"Ja"	"4.228,50"	"37.737,00"	"2.508.000,00"	"232015"	"452638"	"0"	"0"	"2023-03-10"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E3619"		"Nee"	"Waliënseweg 23 7105CD Winterswijk Huppel"		"3"	"Nee"	"967,00"	"712,00"	"12.658,00"	"249288"	"446798"	"0"	"0"	"1900-01-01"	""
"ODA"	"ODA2015E3624"		"Nee"	"Walemaatweg 2 7274DT Geesteren"	"Berkelland"	"9"	"Ja"	"6.494,96"	"86.841,37"	"786.276,00"	"235479"	"460864"	"0"	"0"	"2025-09-22"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E3625"		"Nee"	"Wagenvoortsdijk 5 7218MP Almen"		"7"	"Nee"	"2.516,50"	"25.596,40"	"23.727,00"	"214887"	"465109"	"0"	"0"	"2022-03-31"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E3626"		"Nee"	"Westelijke Noorderbroekweg 7 7054BZ Westendorp"		"1"	"Nee"	"133,10"	"0,00"	"0,00"	"226667"	"443080"	"0"	"0"	"1900-01-01"	""
"ODA"	"ODA2015E3632"		"Nee"	"Lamstraat 12 A 7227NB Toldijk"	"Bronckhorst"	"4"	"Nee"	"4.359,60"	"0,00"	"39.440,00"	"210208"	"450838"	"0"	"0"	"2024-03-27"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3633"		"Nee"	"Lange Dijk 1 7064LG Silvolde"		"6"	"Nee"	"2.023,82"	"23.022,20"	"207.260,00"	"224358"	"434939"	"0"	"0"	"2020-01-23"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3646"		"Nee"	"Lintveldseweg 7 7151NK Eibergen"	"Berkelland"	"2"	"Nee"	"2.940,90"	"22.612,60"	"149.022,00"	"238832"	"456989"	"0"	"0"	"1900-01-01"	""
