"Bronhouder"	"VTHobject ID"	"Bedrijfstype"	"Beëndigd"	"Adres"	"Gemeente"	"Aantal stallen"	"IPPC"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"BAG VBO X"	"BAG VBO Y"	"Gem. emissie X"	"Gem. emissie Y"	"Besluitdatum"	"Zaaktype"
"ODNML"	"6035PW8"	"Biggen"	"Nee"	"Hagelkruisbaan 8 6035PW Ospel"	"Nederweert"	"2"	"Nee"	"1.971,20"	"84.761,60"	"295.680,00"	"183290"	"369253"	"183453"	"369196"	"2025-05-12"	"Omgevingsvergunning-verandering OW"
"ODNML"	"6035PX3"	"Melkrundvee"	"Nee"	"Schinkelsweg 3 6035PX Ospel"	"Nederweert"	"6"	"Nee"	"2.228,00"	"1.224,00"	"26.242,00"	"183338"	"368884"	"183313"	"368857"	"2019-07-01"	"Melding:Activiteitenbesluit"
"ODNML"	"6035PX6"	"Melkrundvee"	"Ja"	"Schinkelsweg 6 6035PX Ospel"	"Nederweert"	"1"	"Nee"	"nu"	"nu"	"nu"	"183300"	"368925"	"183329"	"368930"	"2021-10-11"	"Melding beëindiging veehouderij"
"ODNML"	"6035PX7"	"Vleesvarkens"	"Nee"	"Schinkelsweg 7 6035PX OSPEL"	"Nederweert"	"2"	"Nee"	"615,00"	"4.715,00"	"31.365,00"	"182974"	"368902"	"182969"	"368891"	"2022-01-20"	"Vergunning:Omgevingsvergunning oprichting"
"ODNML"	"6035RA4"	"Nerts Vos"	"Nee"	"De Platkuil 4 6035RA Ospel"	"Nederweert"	"1"	"Nee"	"487,25"	"0,00"	"15.592,00"	"183799"	"369518"	"183802"	"369526"	"1900-01-01"	"Vergunning:onbekend"
"ODNML"	"6035RC0"	"Melkrundvee"	"Nee"	"Moost 0 6035RC OSPEL"	"Nederweert"	"2"	"Nee"	"1.111,05"	"0,00"	"10.446,00"	"182054"	"371746"	"182054"	"371746"	"2018-07-24"	"Melding:Activiteitenbesluit"
"ODNML"	"6035RD0"	"Vleesvee"	"Nee"	"Nieuwebaan 0 6035RD OSPEL"	"Nederweert"	"1"	"Nee"	"106,00"	"712,00"	"3.400,00"	"184607"	"370215"	"184607"	"370215"	"1900-01-01"	"Vergunning:onbekend"
"ODNML"	"6035RH47"	"Melkrundvee"	"Nee"	"Meijelsedijk 47 6035RH Ospel"	"Nederweert"	"2"	"Nee"	"1.764,20"	"0,00"	"15.872,00"	"183698"	"368818"	"183658"	"368867"	"2015-06-09"	"Melding:Activiteitenbesluit"
"ODNML"	"6035RJ0"	"voormalig bedrijf"	"Ja"	" 0 6035RJ "	"Nederweert"	"1"	"Nee"	"0,00"	"0,00"	"0,00"	"185350"	"370896"	"185353"	"370890"	"2011-12-31"	"Intrekking:intrekking gehele veebestand"
"ODNML"	"6035RJ85"	"Vleesvee"	"Nee"	"Meijelsedijk 85 6035RJ Ospel"	"Nederweert"	"1"	"Nee"	"87,50"	"890,00"	"825,00"	"184353"	"369546"	"184303"	"369569"	"2016-01-27"	"Melding:Activiteitenbesluit"
"ODNML"	"6035RK28"	"Vleeskuikens"	"Nee"	"Meijelsedijk 28 6035RK Ospel"	"Nederweert"	"4"	"Nee"	"1.403,48"	"13.238,67"	"879.978,00"	"184205"	"369331"	"184250"	"369286"	"2021-12-29"	"Melding activiteitenbesluit"
"ODNML"	"6035RL110"	"Melkrundvee"	"Nee"	"Meijelsedijk 110 6035RL Ospel"	"Nederweert"	"2"	"Nee"	"1.522,00"	"0,00"	"13.660,00"	"185249"	"370497"	"185308"	"370471"	"1900-01-01"	"Vergunning:onbekend"
"ODNML"	"6035RL76"	"Vleeskuikens"	"Nee"	"Meijelsedijk 76 6035RL Ospel"	"Nederweert"	"1"	"Nee"	"69,50"	"50,04"	"6.394,00"	"184773"	"369973"	"184828"	"369968"	"2015-06-03"	"Melding:Activiteitenbesluit"
"ODNML"	"6035RM2"	"Paarden"	"Nee"	"Oude dijk 2 6035RM Ospel"	"Nederweert"	"3"	"Nee"	"1.540,10"	"0,00"	"9.640,00"	"185786"	"371387"	"185830"	"371393"	"2022-09-22"	"Melding activiteitenbesluit met OBM"
"ODNML"	"6035RN2"	"Leghennen"	"Nee"	"Reebergweg 2 6035RN Ospel"	"Nederweert"	"4"	"Nee"	"2.882,96"	"12.332,48"	"2.365.572,00"	"184402"	"369261"	"184401"	"369287"	"2008-07-10"	"Vergunning:Beschikkking WM revisievergunning"
"ODNML"	"6035RN6"	"voormalig bedrijf"	"Ja"	"Reebergweg 6 6035RN OSPEL"	"Nederweert"	"3"	"Nee"	"0,00"	"0,00"	"0,00"	"184585"	"369244"	"184585"	"369244"	"2012-11-27"	"Intrekking:intrekking gehele veebestand"
"ODNML"	"6035RN7"	"Zeugen"	"Nee"	"Reebergweg 7 6035RN Ospel"	"Nederweert"	"6"	"Nee"	"2.549,57"	"24.757,16"	"1.172.922,00"	"184876"	"369106"	"184915"	"369145"	"2025-06-16"	"Omgevingsvergunning milieuneutraal"
"ODNML"	"6035RP18"	"voormalig bedrijf"	"Ja"	"Plattepeeldijk 18 6035RP OSPEL"	"Nederweert"	"2"	"Nee"	"0,00"	"0,00"	"0,00"	"183776"	"368436"	"183776"	"368436"	"2018-06-19"	"Intrekking:intrekking gehele veebestand"
"ODNML"	"6035RP24"	"Leghennen"	"Nee"	"Plattepeeldijk 24 6035RP Ospel"	"Nederweert"	"6"	"Ja"	"5.335,20"	"20.155,20"	"3.853.200,00"	"184026"	"368646"	"184101"	"368552"	"2024-02-19"	"Ambtshalve wijziging"
"ODNML"	"6035RP25"	"Vleeskuikens"	"Nee"	"Plattepeeldijk 25 6035RP Ospel"	"Nederweert"	"4"	"Ja"	"2.187,50"	"20.625,00"	"1.375.000,00"	"183715"	"368503"	"183742"	"368566"	"2020-03-09"	"Vergunning:Omgevingsvergunning verandering"
