provincie,instellingsnaam,straatnaam,huisnummer-toevoeging,postcode,plaatsnaam,gemeentenummer,gemeentenaam,telefoonnummer,onderwijstype,latitude,longitude
Drenthe,Openbare Basisschool 'T Koppel,Gedempte Achterdiep,9,7831 Cj,Nieuw-Weerdinge,0114,Emmen,0591527089,Basisonderwijs,52.85533814,6.98485421
Drenthe,Openbare Basisschool De Dreske,Roswinkelerstraat,131,7895 Ar,Roswinkel,0114,Emmen,0591352907,Basisonderwijs,52.83751856,7.03931385
Drenthe,Openbare Basisschool 'T Swarte Meer,De Blokken,22,7894 Cl,Zwartemeer,0114,Emmen,0591390213,Basisonderwijs,52.72106293,7.03948622
Drenthe,Openbare Basischool De Iemenhof,Spanjaardspad,86,7761 Br,Schoonebeek,0114,Emmen,0524531231,Basisonderwijs,52.66129119,6.88443694
Drenthe,Openbare Basisschool De Vlonder,Giervalk,20,7827 Hx,Emmen,0114,Emmen,0591678111,Basisonderwijs,52.74985607,6.88859173
Drenthe,Openbare Basisschool De Lisdodde,Ganzenveld,85,7827 Se,Emmen,0114,Emmen,0591677908,Basisonderwijs,52.74777103,6.88286219
Drenthe,Openbare Basisschool Montessori,A.L. Lesturgeonstraat,3,7815 Vd,Emmen,0114,Emmen,0591659874,Basisonderwijs,52.79443757,6.89424251
Drenthe,Delftlanden,Zandzoom,19,7814 Vh,Emmen,0114,Emmen,0591685555,Basisonderwijs,52.75389091,6.86222734
Drenthe,Kindcentrum De Schans,Norgerweg,18,9342 Ph,Een,1699,Noordenveld,0592656308,Basisonderwijs,53.07546459,6.39724748
Drenthe,Kindcentrum De Hekakker,Brinkhofweide,8,9331 Ad,Norg,1699,Noordenveld,0592613224,Basisonderwijs,53.06799594,6.46384606
Drenthe,Kindcentrum 'T Spectrum,Hereweg,1-D,9321 Cl,Peize,1699,Noordenveld,0505033612,Basisonderwijs,53.1472905,6.50048208
Drenthe,Kindcentrum De Elsakker,Schoolstraat,5,9337 Pb,Westervelde,1699,Noordenveld,0592613991,Basisonderwijs,53.05364534,6.44047434
Drenthe,Kindcentrum De Eskampen,Boerakkerweg,2-A,9321 El,Peize,1699,Noordenveld,0505033158,Basisonderwijs,53.1478363,6.50046522
Drenthe,Kindcentrum De Marke,Molenweg,1,9301 Jd,Roden,1699,Noordenveld,0505017434,Basisonderwijs,53.13527862,6.42761372
Drenthe,Kindcentrum De Tandem,Klimop,2,9301 Pk,Roden,1699,Noordenveld,,Basisonderwijs,53.14445308,6.42060358
Drenthe,Kindcentrum Het Valkhof,Schonauwen,2,9301 Sp,Roden,1699,Noordenveld,0505017300,Basisonderwijs,53.13759721,6.4093991
Drenthe,Kindcentrum De Poolster,Zevenhuisterweg,3,9311 Va,Nieuw-Roden,1699,Noordenveld,0505017772,Basisonderwijs,53.12821286,6.3927282
Drenthe,Kindcentrum De Flint,J.P. Santeeweg,109,9312 Ta,Nietap,1699,Noordenveld,0594514649,Basisonderwijs,53.15603112,6.40554646
Drenthe,Kindcentrum Het Palet,Hoofdstraat,21-B,9315 Pa,Roderwolde,1699,Noordenveld,0505033551,Basisonderwijs,53.1677332,6.47020405
Drenthe,Sint Gerardus,Splitting,145,7826 Ct,Emmen,0114,Emmen,0591622465,Basisonderwijs,52.77228122,6.9603346
Drenthe,St Frans School,Harm Tiesingstraat,2,7815 Jj,Emmen,0114,Emmen,0591658985,Basisonderwijs,52.80122068,6.89730858
