"Bronhouder"	"VTHobject ID"	"Bedrijfstype"	"Beëndigd"	"Adres"	"Gemeente"	"Aantal stallen"	"IPPC"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"BAG VBO X"	"BAG VBO Y"	"Gem. emissie X"	"Gem. emissie Y"	"Besluitdatum"	"Zaaktype"
"ODZOB"	"5761PH7A"	"Vleesvarkens"	"Nee"	"Schouw 7A 5761PH Bakel"	"Gemert-Bakel"	"1"	""	"270,00"	"7.620,00"	"18.600,00"	"178759"	"389034"	"178716"	"389038"	"2015-01-20"	"Melding:Melding Activiteitenbesluit (met OBM)"
"ODZOB"	"5761PH8"	"voormalig bedrijf"	"Ja"	"Schouw 8 5761PH BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"178914"	"388979"	"178914"	"388979"	"2000-05-25"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761PJ3"	"Zeugen"	"Nee"	"Oudestraat 3 5761PJ Bakel"	"Gemert-Bakel"	"4"	""	"4.627,40"	"35.702,20"	"306.804,00"	"178905"	"389493"	"178915"	"389420"	"2014-04-01"	"Vergunning:Melding Activiteitenbesluit (met OBM)"
"ODZOB"	"5761PJ4"	"voormalig bedrijf"	"Ja"	"Oudestraat 4 5761PJ BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"178802"	"389641"	"178802"	"389641"	"2006-10-16"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761PJ4A"	"voormalig bedrijf"	"Ja"	"Oudestraat 4A 5761PJ BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"178869"	"389653"	"178869"	"389653"	"2002-04-01"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761PJ6"	"voormalig bedrijf"	"Ja"	"Oudestraat 6 5761PJ Bakel"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"178816"	"389477"	"178755"	"389469"	"2021-08-04"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761PK3"	"voormalig bedrijf"	"Ja"	"Dakworm 3 5761PK BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"179118"	"389670"	"179118"	"389670"	"2017-01-23"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761PL1"	"Biggen"	"Nee"	"Ravensgat 1 5761PL Bakel"	"Gemert-Bakel"	"3"	""	"1.562,50"	"22.639,90"	"96.633,00"	"177993"	"389362"	"178013"	"389410"	"2015-08-13"	"Melding:Melding activiteitenbesluit"
"ODZOB"	"5761PL5"	"Paarden"	"Nee"	"Ravensgat 5 5761PL Bakel"	"Gemert-Bakel"	"1"	""	"80,00"	"0,00"	"0,00"	"178441"	"389312"	"178444"	"389310"	"2017-06-13"	"Melding:Melding activiteitenbesluit"
"ODZOB"	"5761PM1"	"voormalig bedrijf"	"Ja"	"Bakelsebrug 1 5761PM BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"178065"	"389497"	"178065"	"389497"	"2004-10-25"	"Intrekking:Intrekkingsvergunning"
