"Bronhouder"	"VTHobject ID"	"Stal ID"	"Omschrijving"	"Beëndigd"	"Adres"	"Gemeente"	"EmissieX"	"EmissieY"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"Zaaknummer"	"Besluitdatum"	"Zaaktype"
"OMWB"	"5087KS5"	"5087KS5_4105"	"bedrijf"	"Nee"	"Watermolenweg 5 5087KS Diessen"	"Hilvarenbeek"	"140871"	"386395"	"147,80"	"0,00"	"0,00"	"5087KS5_4105"	"2020-12-18"	"Intrekking:Intrekking gedeeltelijke veestand"
"OMWB"	"5087KT12"	"5087KT12_4107"	"bedrijf"	"Nee"	"Van Dijcklaan 12 5087KT Diessen"	"Hilvarenbeek"	"141238"	"385708"	"2.634,00"	"0,00"	"34.920,00"	"5087KT12_4107"	"2018-03-01"	"Melding:Melding activiteitenbesluit"
"OMWB"	"5087KV17"	"5087KV17_4109"	"bedrijf"	"Nee"	"Baarschotsestraat 17 5087KV Diessen"	"Hilvarenbeek"	"141000"	"385536"	"2.571,20"	"0,00"	"28.208,00"	"5087KV17_4109"	"2007-09-25"	"Vergunning:Oprichtingsvergunning"
"OMWB"	"5087KV21"	"5087KV21_4110"	"bedrijf"	"Nee"	"Baarschotsestraat 21 5087KV Diessen"	"Hilvarenbeek"	"141054"	"385616"	"95,00"	"0,00"	"0,00"	"5087KV21_4110"	"2001-01-16"	"Vergunning:Revisievergunning"
"OMWB"	"5087KW62"	"5087KW62_1209"	"bedrijf"	"Nee"	"Baarschotsestraat 62 5087KW Diessen"	"Hilvarenbeek"	"141425"	"385177"	"207,60"	"0,00"	"4.122,00"	"5087KW62_1209"	"2017-10-03"	"Melding:Melding activiteitenbesluit"
"OMWB"	"5087KX10"	"5087KX10_17504"	"Stal 3"	"Nee"	"Tongerloseweg 10 5087KX Diessen"	"Hilvarenbeek"	"140585"	"386285"	"229,60"	"0,00"	"4.816,00"	"5087KX10_17504"	"2021-05-14"	"Melding:Melding activiteitenbesluit"
"OMWB"	"5087KX10"	"5087KX10_4897"	"Stal 2"	"Nee"	"Tongerloseweg 10 5087KX Diessen"	"Hilvarenbeek"	"140587"	"386303"	"69,70"	"0,00"	"1.462,00"	"5087KX10_4897"	"2021-05-14"	"Melding:Melding activiteitenbesluit"
"OMWB"	"5087KX12"	"5087KX12_4898"	"bedrijf"	"Nee"	"Tongerloseweg 12 5087KX Diessen"	"Hilvarenbeek"	"140566"	"386069"	"2.878,50"	"0,00"	"32.670,00"	"5087KX12_4898"	"2013-02-25"	"Melding:Besluit Landbouw milieubeheer"
"OMWB"	"5087KX14"	"5087KX14_4899"	"bedrijf"	"Nee"	"Tongerloseweg 14 5087KX Diessen"	"Hilvarenbeek"	"140558"	"385912"	"370,80"	"230,60"	"3.890,00"	"5087KX14_4899"	"1998-03-31"	"Melding:AMvB melkrundveehouderij"
"OMWB"	"5087KX3"	"5087KX3_4894"	"bedrijf"	"Nee"	"Tongerloseweg 3 5087KX Diessen"	"Hilvarenbeek"	"140676"	"386598"	"294,95"	"931,03"	"74.353,00"	"5087KX3_4894"	"2002-06-25"	"Correctie:Revisievergunning"
"OMWB"	"5087KX7"	"5087KX7_4896"	"natuurlijke ventilat"	"Nee"	"Tongerloseweg 7 5087KX Diessen"	"Hilvarenbeek"	"140730"	"386086"	"2.166,00"	"16.606,00"	"110.466,00"	"5087KX7_4896"	"2022-01-11"	"Melding:Melding activiteitenbesluit"
"OMWB"	"5087KZ2"	"5087KZ2_5421"	"bedrijf"	"Nee"	"Turkaaweg 2 5087KZ Diessen"	"Hilvarenbeek"	"140956"	"387351"	"573,50"	"3.382,00"	"15.440,00"	"5087KZ2_5421"	"2004-11-16"	"Vergunning:Revisievergunning"
"OMWB"	"5087TA19A"	"5087TA19A_17220"	"Stal 3"	"Nee"	"Heikant 19A 5087TA Diessen"	"Hilvarenbeek"	"141036"	"384963"	"536,42"	"5.428,10"	"830.180,00"	"5087TA19A_17220"	"2021-02-09"	"Vergunning:Omgevingsvergunning-revisie"
"OMWB"	"5087TA19A"	"5087TA19A_5426"	"Stal 2"	"Nee"	"Heikant 19A 5087TA Diessen"	"Hilvarenbeek"	"141032"	"384977"	"1.685,20"	"13.299,10"	"2.267.109,00"	"5087TA19A_5426"	"2021-02-09"	"Vergunning:Omgevingsvergunning-revisie"
"OMWB"	"5087TA22"	"5087TA22_5429"	"bedrijf"	"Nee"	"Heikant 22 5087TA Diessen"	"Hilvarenbeek"	"141296"	"383476"	"4.432,20"	"0,00"	"53.088,00"	"5087TA22_5429"	"2015-07-14"	"Vergunning:Omgevingsvergunning-verandering"
"OMWB"	"5087TA25"	"5087TA25_5430"	"bedrijf"	"Nee"	"Heikant 25 5087TA Diessen"	"Hilvarenbeek"	"141026"	"384368"	"2.786,50"	"8.529,20"	"68.632,00"	"5087TA25_5430"	"1990-07-11"	"Vergunning:uitbreidings/veranderingsvergunning"
"OMWB"	"5087TB6"	"5087TB6_5432"	"bedrijf"	"Nee"	"De Hertgang 6 5087TB Diessen"	"Hilvarenbeek"	"140901"	"384373"	"45,00"	"345,00"	"2.295,00"	"5087TB6_5432"	"2017-06-30"	"Melding:Intrekking gedeeltelijke veestand"
"OMWB"	"5087TB8"	"5087TB8_11832"	"bedrijf"	"Nee"	"De Hertgang 8 5087TB Diessen"	"Hilvarenbeek"	"140743"	"384318"	"660,40"	"0,00"	"7.204,00"	"5087TB8_11832"	"1991-06-01"	"Melding:AMvB melkrundveehouderij"
"OMWB"	"5087TD4"	"5087TD4_5436"	"bedrijf"	"Nee"	"Moleneind 4 5087TD Diessen"	"Hilvarenbeek"	"140441"	"384995"	"526,40"	"3.289,00"	"22.967,00"	"5087TD4_5436"	"2004-01-06"	"Intrekking:Intrekking gedeeltelijke veestand"
"OMWB"	"5087TG4"	"5087TG4_15427"	"bedrijf"	"Nee"	"Esbeeksedijk 4 5087TG Diessen"	"Hilvarenbeek"	"140026"	"385389"	"1.014,80"	"6.015,70"	"49.823,00"	"5087TG4_15427"	"2013-02-07"	"Vergunning:Omgevingsvergunning milieu"
"OMWB"	"5087TH4"	"5087TH4_5442"	"bedrijf"	"Nee"	"Brakenweg 4 5087TH Diessen"	"Hilvarenbeek"	"140178"	"385594"	"139,50"	"356,00"	"2.700,00"	"5087TH4_5442"	"2019-03-19"	"Melding:Melding activiteitenbesluit"
"OMWB"	"5087TJ7"	"5087TJ7_5443"	"bedrijf"	"Nee"	"Heistraat 7 5087TJ Diessen"	"Hilvarenbeek"	"141148"	"384462"	"1.138,80"	"0,00"	"13.134,00"	"5087TJ7_5443"	"2001-09-06"	"Melding:AMvB melkrundveehouderij"
"OMWB"	"5087TK2"	"5087TK2_Z2025-00021454_1"	"1"	"Nee"	"Westelbeersedijk 2 5087TK Diessen"	"Hilvarenbeek"			"35,65"	"111,40"	"1.451,00"	"5087TK2_Z2025-00021454"	"2025-09-02"	"Melding Besluit Activiteit Leefomgeving"
