"Bronhouder"	"VTHobject ID"	"Stal ID"	"Omschrijving"	"Beëndigd"	"Adres"	"Gemeente"	"EmissieX"	"EmissieY"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"Zaaknummer"	"Besluitdatum"	"Zaaktype"
"Horst aan de Maas"	"5865AL4"	"5865AL4_11640"	"7"	"Nee"	"Mackayweg 4 5865AL Tienray"	"Horst aan de Maas"	"203568"	"388731"	"4.669,50"	"28.866,00"	"5.518.500,00"	"5865AL4_11640"	"2015-05-13"	"Vergunning:"
"Horst aan de Maas"	"5865AL4"	"5865AL4_11641"	"1"	"Nee"	"Mackayweg 4 5865AL Tienray"	"Horst aan de Maas"	"203559"	"388777"	"2.290,68"	"18.543,60"	"3.545.100,00"	"5865AL4_11641"	"2015-05-13"	"Vergunning:"
"Horst aan de Maas"	"5865AL4"	"5865AL4_11642"	"8"	"Nee"	"Mackayweg 4 5865AL Tienray"	"Horst aan de Maas"	"203597"	"388707"	"5.284,69"	"42.780,84"	"8.178.690,00"	"5865AL4_11642"	"2015-05-13"	"Vergunning:"
"Horst aan de Maas"	"5865AL4"	"5865AL4_11643"	"loods mestopsslag"	"Nee"	"Mackayweg 4 5865AL Tienray"	"Horst aan de Maas"	"203494"	"388780"	"2.200,00"	"0,00"	"0,00"	"5865AL4_11643"	"2015-05-13"	"Vergunning:"
"Horst aan de Maas"	"5865BA11"	"5865BA11_11302"	"bedrijf"	"Nee"	"Donkerhofsteeg 11 5865BA Tienray"	"Horst aan de Maas"	"204643"	"389867"	"171,00"	"0,00"	"0,00"	"5865BA11_11302"	"2017-08-31"	"Melding:Activiteitenbesluit"
"Horst aan de Maas"	"5866AB28"	"5866AB28_12617"	"bedrijf"	"Nee"	"Molenstraat 28 5866AB Swolgen"	"Horst aan de Maas"	"204987"	"389666"	"45,00"	"0,00"	"0,00"	"5866AB28_12617"	"2016-07-08"	"Melding:Activiteitenbesluit"
"Horst aan de Maas"	"5866AP10"	"5866AP10_10009"	"5"	"Nee"	"Boabelweg 10 5866AP Swolgen"	"Horst aan de Maas"	"205803"	"388908"	"51,80"	"0,00"	"0,00"	"5866AP10_10009"	"2018-10-01"	"Melding:Activiteitenbesluit"
"Horst aan de Maas"	"5866AP10"	"5866AP10_10010"	"2"	"Nee"	"Boabelweg 10 5866AP Swolgen"	"Horst aan de Maas"	"205677"	"388954"	"41,00"	"0,00"	"0,00"	"5866AP10_10010"	"2018-10-01"	"Melding:Activiteitenbesluit"
"Horst aan de Maas"	"5866AP10"	"5866AP10_10011"	"3"	"Nee"	"Boabelweg 10 5866AP Swolgen"	"Horst aan de Maas"	"205674"	"388922"	"60,00"	"0,00"	"0,00"	"5866AP10_10011"	"2018-10-01"	"Melding:Activiteitenbesluit"
"Horst aan de Maas"	"5866AP10"	"5866AP10_10012"	"4"	"Nee"	"Boabelweg 10 5866AP Swolgen"	"Horst aan de Maas"	"205663"	"388880"	"70,00"	"0,00"	"0,00"	"5866AP10_10012"	"2018-10-01"	"Melding:Activiteitenbesluit"
