provincie,instellingsnaam,straatnaam,huisnummer-toevoeging,postcode,plaatsnaam,gemeentenummer,gemeentenaam,telefoonnummer,school_type,latitude,longitude
Gelderland,Rooms Katholieke Paulusschool,Kerkstraat,68,6987 AD,GIESBEEK,0299,ZEVENAAR,0313631273,primary,51.99721228,6.07163037
Gelderland,IKC De Droomgaard,Goudhaanstraat,38,6921 KC,DUIVEN,0226,DUIVEN,0316261604,primary,51.94584438,6.01643722
Gelderland,De Expeditie,Reinskamp,2,6942 RZ,DIDAM,1955,MONTFERLAND,0316223766,primary,51.92864827,6.12238836
Gelderland,Rooms Katholieke Basisschool 't Scathe,Schoolstraat,1,6911 AX,PANNERDEN,0299,ZEVENAAR,0316373087,primary,51.88867585,6.03920599
Gelderland,NovaMundi,Paepestraat,23,6931 CP,WESTERVOORT,0293,WESTERVOORT,0263120924,primary,51.95865782,5.96421021
Gelderland,Lindenhage,Platanenlaan,3,6903 DK,ZEVENAAR,0299,ZEVENAAR,0316523639,primary,51.93897596,6.07117741
Gelderland,Kindcentrum de Ontdekking,Polstraat,62,6942 VM,DIDAM,1955,MONTFERLAND,0316223252,primary,51.94551252,6.13272717
Gelderland,De Wissel,Westeinde,101,6904 AC,ZEVENAAR,0299,ZEVENAAR,0316523738,primary,51.93259023,6.06714764
Gelderland,De Toorts,Marsweg,5,6941 BG,DIDAM,1955,MONTFERLAND,0316224069,primary,51.94000956,6.12511851
Gelderland,Sint Jozef,Wehlseweg,48,6941 DM,DIDAM,1955,MONTFERLAND,0316223875,primary,51.95209753,6.14640532
Gelderland,IKC De Tamboerijn,Paganinistraat,17,6904 EG,ZEVENAAR,0299,ZEVENAAR,0316524158,primary,51.92956299,6.06101804
Gelderland,Het Kofschip,Platanenlaan,1,6903 DK,ZEVENAAR,0299,ZEVENAAR,0316525619,primary,51.93913085,6.07173174
