PROVINCIE,INSTELLINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,TELEFOONNUMMER,school_type
Gelderland,Rooms Katholieke Basisschool Antonius,Winterswijkseweg,20,7134 NE,VRAGENDER,1586,OOST GELRE,0544372429,primary
Gelderland,Sint Canisiusschool,Kerkstraat,44,7135 JM,HARREVELD,1586,OOST GELRE,0544371099,primary
Gelderland,Openbare Basisschool De Slinger,Wehmerstraat,21,7121 DP,AALTEN,0197,AALTEN,0543472317,primary
Gelderland,Basisschool De Leeuw,'t Hof,2,7131 DR,LICHTENVOORDE,1586,OOST GELRE,0544373475,primary
Gelderland,Rooms Katholieke Basisschool St Theresia,Waalderweg,20,7263 RW,MARIENVELDE,1586,OOST GELRE,0544351689,primary
Gelderland,Rooms Katholieke Basisschool Frans ten Bosch,De Rode Van Heeckerenstr,26,7131 ER,LICHTENVOORDE,1586,OOST GELRE,0544372326,primary
Gelderland,Het Gele Park basisonderwijs,Varsseveldseweg,47,7131 BH,LICHTENVOORDE,1586,OOST GELRE,0544221027,primary
Gelderland,Basisschool Sint Joris,Waterhoen,1,7132 DK,LICHTENVOORDE,1586,OOST GELRE,0544373567,primary
Gelderland,IKC Groeituin,Oranjestraat,72,7051 AK,VARSSEVELD,1509,OUDE IJSSELSTREEK,0315242507,primary
Gelderland,Openbare Basisschool Leemvoortschool,Steuterweg,2,7054 CJ,WESTENDORP,1509,OUDE IJSSELSTREEK,0315298168,primary
Gelderland,Openbare Basisschool 't Montferland,Plantsoensingel Noord,5-A,7041 DH,'S-HEERENBERG,1955,MONTFERLAND,0314661924,primary
Gelderland,Openbare Basisschool De Woelwaters,Middelgraaf,46,7071 WT,ULFT,1509,OUDE IJSSELSTREEK,0315641001,primary
Gelderland,Auryn,Marga Klompelaan,2,7207 KA,ZUTPHEN,0301,ZUTPHEN, ,primary
Gelderland,Basisschool Eben Haezer,Zandenallee,18,7395 PC,TEUGE,0285,VOORST,0553231483,primary
Gelderland,Basisschool Eben-Haezer,Valkeniersdonk,202,7326 KP,APELDOORN,0200,APELDOORN,0555344704,primary
Gelderland,Basisschool Ten Holtens Erve,Middendijk,53,7397 NC,NIJBROEK,0285,VOORST,0571292162,primary
Gelderland,De Zaaier,Bleriotstraat,3,7395 ML,TEUGE,0285,VOORST,0553231792,primary
Gelderland,De Oase,Jachtlustplein,30-A,7391 BW,TWELLO,0285,VOORST,0571272400,primary
Gelderland,Christelijke Basisschool Sjaloom,Kerkstraat,25,7383 CB,VOORST GEM VOORST,0285,VOORST,0575501229,primary
