PROVINCIE;BEVOEGD GEZAG NUMMER;INSTELLINGSCODE;INSTELLINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM
Noord-Holland;75375;07RY;Basisschool Maria;Bagijnhof;39;1671 CC;MEDEMBLIK;0420;MEDEMBLIK;Rooms-Katholiek;0227541488;www.skowf.nl/site/mariabernadetteschool;Postbus;81;1670 AB;MEDEMBLIK;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;07TA;Basisschool Sint Hieronymus;Kerkweg;16;1687 PJ;WOGNUM;0420;MEDEMBLIK;Rooms-Katholiek;0229571539;www.skowf.nl/site/sthieronymus;Kerkweg;16;1687 PJ;WOGNUM;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;07TC;Rooms Katholieke Basisschool De Bangert;Hooijschuurstraat;2;1619 CT;ANDIJK;0420;MEDEMBLIK;Rooms-Katholiek;0228592361;www.skowf.nl/site/debangert;Hooijschuurstraat;2;1619 CT;ANDIJK;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;07VI;Rooms Katholieke Basisschool De stek;Veldstralaan;4;1715 EP;SPANBROEK;0432;OPMEER;Rooms-Katholiek;0226351217;www.skowf.nl/site/destek;Postbus;28;1715 ZG;SPANBROEK;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;07WM;Rooms Katholieke Basisschool De Ark;Burgemeester Kooimanweg;1;1711 KK;HENSBROEK;1598;KOGGENLAND;Rooms-Katholiek;0226452072;www.skowf.nl/site/deark;Burgemeester Kooimanweg;1;1711 KK;HENSBROEK;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;08MY;Basisschool St Werenfridus;Dorpsstraat;75-77;1693 AC;WERVERSHOOF;0420;MEDEMBLIK;Rooms-Katholiek;0228581739;www.skowf.nl/site/werenfridus;Dorpsstraat;75-77;1693 AC;WERVERSHOOF;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;08OM;De Sprankeling;Buitenroede;12;1633 GZ;AVENHORN;1598;KOGGENLAND;Rooms-Katholiek;0229343500;www.skowf.nl/site/desprankeling;Postbus;50;1633 ZH;AVENHORN;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;09AK;Basisschool St Wulfram;Burg Heymansstraat;8;1718 AN;HOOGWOUD;0432;OPMEER;Rooms-Katholiek;0226355843;www.skowf.nl/site/stwulfram;Burg Heymansstraat;8;1718 AN;HOOGWOUD;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75753;06NN;Julianaschool;Willem Kalfflaan;3;1401 CL;BUSSUM;1942;GOOISE MEREN;Protestants-Christelijk;0356911994;www.julianadaltonschool.nl;Willem Kalfflaan;3;1401 CL;BUSSUM;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
Noord-Holland;75753;08KP;Christelijke Nationale Basisschool Warin;Overmeerseweg;36;1394 BD;NEDERHORST DEN BERG;1696;WIJDEMEREN;Protestants-Christelijk;0294251351;www.warinschool.nl;Postbus;58;1394 ZH;NEDERHORST DEN BERG;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
Noord-Holland;75753;08PE;Protestants Christelijke Basisschool De Regenboog;Elbert Mooijlaan;86;1241 BE;KORTENHOEF;1696;WIJDEMEREN;Protestants-Christelijk;0356560408;www.regenboogkortenhoef.nl;Elbert Mooijlaan;86;1241 BE;KORTENHOEF;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
Noord-Holland;75753;08SQ;IKC-Wereldwijs;Laan van Eikenrode;51;1231 BN;LOOSDRECHT;1696;WIJDEMEREN;Protestants-Christelijk;0355821848;www.ikc-Wereldwijs.nl;Laan van Eikenrode;51;1231 BN;LOOSDRECHT;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
Noord-Holland;75753;09CO;Rehobothschool;Westwalstraat;49;1411 PD;NAARDEN;1942;GOOISE MEREN;Protestants-Christelijk;0356946240;www.rehobothschoolnaarden.nl;Westwalstraat;49;1411 PD;NAARDEN;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
Noord-Holland;75753;09MY;De Zonnewijzer;Lange Heul;149-B;1403 NH;BUSSUM;1942;GOOISE MEREN;Protestants-Christelijk;0356989339;www.zonnewijzer-bussum.nl;Lange Heul;149-B;1403 NH;BUSSUM;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
Noord-Holland;75753;15NU;Christelijke Basisschool Avonturijn;De Melkfabriek;5;1221 CE;HILVERSUM;0402;HILVERSUM;Protestants-Christelijk;0356859913;www.avonturijnhilversum.nl;De Melkfabriek;5;1221 CE;HILVERSUM;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
Noord-Holland;75753;15VA;Flore;Banckertlaan;130;1215 RH;HILVERSUM;0402;HILVERSUM;Protestants-Christelijk;0356244375;www.vanhasseltschool.org;Banckertlaan;130;1215 RH;HILVERSUM;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
Noord-Holland;75753;15ZH;Nassauschool;Merelstraat;45;1223 NS;HILVERSUM;0402;HILVERSUM;Protestants-Christelijk;0356858172;www.nassauschoolhilversum.nl;Merelstraat;45;1223 NS;HILVERSUM;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
Noord-Holland;75753;16CP;Wilhelminaschool;Gijsbrecht van Amstelstr;4;1213 CK;HILVERSUM;0402;HILVERSUM;Protestants-Christelijk;0356215840;www.wilhelminahilversum.nl;Gijsbrecht van Amstelstr;4;1213 CK;HILVERSUM;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
Noord-Holland;75753;32BT;Julianaschool Kwartellaan;Kwartellaan;4;1403 BE;BUSSUM;1942;GOOISE MEREN;Protestants-Christelijk;0356911278; ;Kwartellaan;4;1403 BE;BUSSUM;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
